dimension,condition,dataset,seed,gamma,target_threshold,leakage_threshold,deployed,selected_candidate,selected_method,limiting_attackers,external_contract_estimable,external_contract_satisfied,measured_external_contract_violation,safe_deployment,oracle_deployed,procedurally_unsupported,secondary
fixed_profile_shift_budget,gamma=1,Waterbirds,5,1.0,0.05,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1,Waterbirds,5,1.0,0.05,0.7,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1,Waterbirds,5,1.0,0.05,0.8,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1,Waterbirds,5,1.0,0.1,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1,Waterbirds,5,1.0,0.1,0.7,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1,Waterbirds,5,1.0,0.1,0.8,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1,Waterbirds,5,1.0,0.2,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1,Waterbirds,5,1.0,0.2,0.7,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1,Waterbirds,5,1.0,0.2,0.8,True,INLP::rank=4,INLP,rbf,True,True,False,True,True,False,True
fixed_profile_shift_budget,gamma=1.01,Waterbirds,5,1.01,0.05,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.01,Waterbirds,5,1.01,0.05,0.7,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.01,Waterbirds,5,1.01,0.05,0.8,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1.01,Waterbirds,5,1.01,0.1,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.01,Waterbirds,5,1.01,0.1,0.7,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.01,Waterbirds,5,1.01,0.1,0.8,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1.01,Waterbirds,5,1.01,0.2,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.01,Waterbirds,5,1.01,0.2,0.7,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1.01,Waterbirds,5,1.01,0.2,0.8,True,INLP::rank=4,INLP,rbf,True,True,False,True,True,False,True
fixed_profile_shift_budget,gamma=1.05,Waterbirds,5,1.05,0.05,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.05,Waterbirds,5,1.05,0.05,0.7,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.05,Waterbirds,5,1.05,0.05,0.8,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1.05,Waterbirds,5,1.05,0.1,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.05,Waterbirds,5,1.05,0.1,0.7,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.05,Waterbirds,5,1.05,0.1,0.8,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1.05,Waterbirds,5,1.05,0.2,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.05,Waterbirds,5,1.05,0.2,0.7,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1.05,Waterbirds,5,1.05,0.2,0.8,False,,,,True,NA,False,False,True,False,True
fixed_profile_shift_budget,gamma=1.1,Waterbirds,5,1.1,0.05,0.6,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.1,Waterbirds,5,1.1,0.05,0.7,False,,,,True,NA,False,False,False,False,True
fixed_profile_shift_budget,gamma=1.1,Waterbirds,5,1.1,0.05,0.8,False,,,,True,NA,False,False,True,False,True
