status,key,evidence
pass,maintrack_readme_present,exists=yes; missing_terms=[]
pass,maintrack_project_spec_present,exists=yes; missing_terms=[]
pass,maintrack_paper_a_lock_present,exists=yes; missing_terms=[]
pass,maintrack_novelty_lock_present,exists=yes; missing_terms=[]
pass,maintrack_novelty_sweep_2026_update_present,exists=yes; missing_terms=[]
pass,maintrack_algorithm_spec_present,exists=yes; missing_terms=[]
fail,maintrack_theory_target_present,exists=yes; missing_terms=['abstention']
pass,maintrack_baseline_protocol_present,exists=yes; missing_terms=[]
pass,maintrack_abstention_protocol_present,exists=yes; missing_terms=[]
pass,maintrack_statistical_integrity_present,exists=yes; missing_terms=[]
pass,maintrack_reproducibility_checklist_present,exists=yes; missing_terms=[]
pass,maintrack_claim_ledger_present,exists=yes; missing_terms=[]
pass,maintrack_code_availability_present,exists=yes; missing_terms=[]
pass,maintrack_code_availability_anonymous_present,exists=yes; missing_terms=[]
pass,maintrack_faro_main_present,exists=yes; missing_terms=[]
pass,official_result_count,"official_ready_rows=2; required=2; rows=['waterbirds_official_result_receipt.json', 'camelyon17_wilds_official_result_receipt.json']"
pass,official_statistics_count,"claim_grade_statistical_reports=2; required=2; reports=['waterbirds_official_statistical_report.json', 'camelyon17_wilds_official_statistical_report.json']"
pass,official_family_count,"families=['medical / hospital shift', 'spurious correlation / background shift']; required=2"
pass,high_stakes_official_result,high_stakes_ready=yes
pass,camelyon17_full_numpy_store_present,manifest_exists=yes; n_examples=455954; feature_count=512; arrays_exist=True
pass,mance_reference_claim_grade_present,"claim_grade=['waterbirds_mancepp_reference_seed0_receipt.json', 'waterbirds_mancepp_reference_receipt.json', 'waterbirds_mancepp_reference_seed1_receipt.json', 'camelyon17_mancepp_reference_full_nocap_receipt.json', 'waterbirds_mancepp_reference_seed3_receipt.json', 'waterbirds_mancepp_reference_seed4_receipt.json', 'waterbirds_mancepp_reference_seed2_receipt.json']; diagnostics=['camelyon17_mancepp_reference_diagnostic_receipt.json', 'camelyon17_mancepp_reference_80k_diagnostic_receipt.json', 'camelyon17_mancepp_reference_40k_diagnostic_receipt.json']"
pass,faro_synthetic_abstention_certificate_passed,report_exists=yes; overlap_decision=ABSTAIN; nonoverlap_decision=EDIT
pass,camelyon17_full_frontier_certificate_present,report_exists=yes; decision=ABSTAIN; safe_candidate_count=0; selected_strength=0.0; external_source_interpretable=False
pass,reproducibility_packet_passed,packet_ready=yes; report_exists=yes
pass,claim_ledger_audit_passed,claim_ledger_ready=yes; report_exists=yes
pass,baseline_fairness_audit_passed,baseline_ready=yes; report_exists=yes
pass,upstream_baseline_inventory_passed,inventory_ready=yes; report_exists=yes
pass,aaai2027_source_readiness_passed,source_ready=yes; report_exists=yes
pass,adversarial_internal_review_passed,submission_ready=yes; report_exists=yes
fail,exact_seven_gate_goal_and_submission_audit_passed,schema_version=2; paper_goals_complete=False; goal_complete=False; fail_count=7
